user_id,time,days,average_per_day,rank
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,17,17,1.0,4
0e581334-ccca-4141-9731-ddf544b1c549,14,14,1.0,5
1f55d290-49ff-4512-b1c1-ee92ec9680ab,7,16,0.4375,16
1fcdd2f5-13ed-4ee8-b4ec-706654e68472,7,13,0.5384615384615384,13
2c4c1aa0-5dd6-4fc1-b474-6c2ed92dd43c,0,18,0.0,24
2e5d8815-4e59-4302-99c0-6fc9593a2eef,10,16,0.625,12
33c08c48-f50a-4c72-a975-f8572d65a8db,2,16,0.125,23
36ca1a7a-a927-4838-bb36-4fcd974014c9,5,15,0.3333333333333333,19
45887b17-5c63-410d-9ae3-e645743c3076,4,17,0.23529411764705882,21
495958c6-3d03-43e3-b324-b3191d5c78f1,7,18,0.3888888888888889,17
5dafb3b2-22aa-4039-a2f0-3cf711f84177,14,19,0.7368421052631579,10
67e4c352-bda1-4289-b0a4-0e25f67af5f2,20,20,1.0,6
6ecc43f1-87f4-4a10-b9b9-4447a5d0bc22,15,15,1.0,7
8ee31b32-9b50-47da-8927-801a62348cb5,7,18,0.3888888888888889,18
98ea63ee-bba1-4ea5-8ada-1d0a2dd1f6fd,20,15,1.3333333333333333,3
a59f9f64-2937-40e6-bc28-e43fbab63a65,3,14,0.21428571428571427,22
a8c60645-aef4-4b4e-aefb-65e242536c2f,11,17,0.6470588235294118,11
abce78a1-f8e6-4e9b-aafe-9786846e089e,7,14,0.5,14
b12841ab-ad59-42bc-ad7c-8e9c97cb8fba,0,19,0.0,25
bfa0f1f9-300e-41ad-bcff-0c3bd79595f1,12,12,1.0,8
d22c03ba-00f7-4473-bc9d-61136643994f,23,11,2.090909090909091,1
f85a9fe3-1744-4181-b81c-a8f93df57f02,5,17,0.29411764705882354,20
oab91046-1831-436d-a41d-da6ba1b2d385,11,11,1.0,9
p3b4e81f-79de-4937-ba87-aec8e7e731af,9,19,0.47368421052631576,15
tc83470b-61c3-48c5-9bf3-9d623942e2ec,23,16,1.4375,2
