user_id,session_length
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,7
1f55d290-49ff-4512-b1c1-ee92ec9680ab,4
tc83470b-61c3-48c5-9bf3-9d623942e2ec,12
5dafb3b2-22aa-4039-a2f0-3cf711f84177,5
98ea63ee-bba1-4ea5-8ada-1d0a2dd1f6fd,3
0e581334-ccca-4141-9731-ddf544b1c549,3
2e5d8815-4e59-4302-99c0-6fc9593a2eef,1
p3b4e81f-79de-4937-ba87-aec8e7e731af,12
33c08c48-f50a-4c72-a975-f8572d65a8db,12
a8c60645-aef4-4b4e-aefb-65e242536c2f,12
45887b17-5c63-410d-9ae3-e645743c3076,12
2c4c1aa0-5dd6-4fc1-b474-6c2ed92dd43c,11
8ee31b32-9b50-47da-8927-801a62348cb5,10
1fcdd2f5-13ed-4ee8-b4ec-706654e68472,10
36ca1a7a-a927-4838-bb36-4fcd974014c9,10
oab91046-1831-436d-a41d-da6ba1b2d385,10
abce78a1-f8e6-4e9b-aafe-9786846e089e,10
f85a9fe3-1744-4181-b81c-a8f93df57f02,10
495958c6-3d03-43e3-b324-b3191d5c78f1,10
a59f9f64-2937-40e6-bc28-e43fbab63a65,10
bfa0f1f9-300e-41ad-bcff-0c3bd79595f1,9
6ecc43f1-87f4-4a10-b9b9-4447a5d0bc22,9
d22c03ba-00f7-4473-bc9d-61136643994f,8
67e4c352-bda1-4289-b0a4-0e25f67af5f2,8
b12841ab-ad59-42bc-ad7c-8e9c97cb8fba,8
